ID,Source_Book,Verse,Era,Translator,Input_Tamil,Reference_English,Baseline_Translation,FIneTuned_Translation,IKS_Concepts,Cultural_Notes,Reviewer_Fluency_Score (1-5),Reviewer_Adequacy_Score (1-5),Reviewer_Concept_Accuracy_Score (1-5),Reviewer_Notes
TK-0087-POPE,Thirukkural,87,Post-Sangam (c. 1st–5th century CE),G.U. Pope,பண்பு உடையவரைப் பாத்து உண்டலின் பண்பில்லார் தம்பொருள் உண்டு ஊட்டுதல் தகாது.,To eat with the refined is better than feeding the uncultured with their own food.,,,,"Thirukkural couplet 87, Hospitality (விருந்தோம்பல்).",,,,
TK-0056-POPE,Thirukkural,56,Post-Sangam (c. 1st–5th century CE),G.U. Pope,தற்காத்துத் தற்கொண்டாற் பேணித் தகைசான்ற சொற்காத்துச் சோர்விலாள் பெண்.,"She who guards herself, attends to her husband, and is of good speech without failing — she is a woman of true excellence.",,,,"Thirukkural couplet 56, The Help of a Good Wife (வாழ்க்கைத் துணைநலம்).",,,,
TK-0040-DREW,Thirukkural,40,Post-Sangam (c. 1st–5th century CE),W.H. Drew,மனத்துக்கண் மாசிலன் ஆதல் அனைத்தறன் ஆகுல நீர பிற.,Virtue consists in purity of mind; all else is mere noise.,,,,"Thirukkural couplet 40, Assertion of the Strength of Virtue (அறன்வலியுறுத்தல்).",,,,
NAT-0052,Natrinai,52,Sangam (c. 300 BCE – 300 CE),A.K. Ramanujan,பாலை நிலத்தில் பிரிந்த காதலன் வரும் நாள் வரை பொறுத்திருக்கும் கல்மனம்.,"In the arid Palai landscape, the heroine's stone-like heart waits until her love returns.",,,"Palai, Pirivu, Kadal",The arid Palai landscape represents separation; the heroine's patient endurance is like stone.,,,,
TK-0088-POPE,Thirukkural,88,Post-Sangam (c. 1st–5th century CE),G.U. Pope,மிகைபடச் சொல்லாது மெய்ப்பட வேண்டும் வகைபட வேண்டும் விருந்து.,"Hospitality should be rendered exactly as truth demands, neither exaggerated nor deficient.",,,,"Thirukkural couplet 88, Hospitality (விருந்தோம்பல்).",,,,
SIL-Cilappatikaram-7,Silappathikaram,Cilappatikaram-7,Post-Sangam (c. 5th century CE),R. Parthasarathy,யாழின் இசை கேட்டு மகிழும் மனமுள்ளவர் இசையை புரிந்துகொண்டவர்.,Those who delight in hearing the music of the Yazh are those who truly understand music.,,,"Yazh, Pan",The Silappathikaram's celebration of the Yazh (lute) as the highest musical instrument.,,,,
TK-0041-DREW,Thirukkural,41,Post-Sangam (c. 1st–5th century CE),W.H. Drew,இல்வாழ்வான் என்பான் இயல்புடைய மூவர்க்கும் நல்லாற்றின் நின்ற துணை.,The householder is the pillar of support for the other three righteous life-paths.,,,,"Thirukkural couplet 41, Domestic Life (இல்வாழ்க்கை).",,,,
TK-0002-DREW,Thirukkural,2,Post-Sangam (c. 1st–5th century CE),W.H. Drew,கற்றதனால் ஆய பயனென்கொல் வாலறிவன் நற்றாள் தொழாஅர் எனின்.,What will the learned profit if they do not worship the feet of the pure-knowledged One?,,,,"Thirukkural couplet 2, Praise of God (கடவுள் வாழ்த்து).",,,,
TK-0072-POPE,Thirukkural,72,Post-Sangam (c. 1st–5th century CE),G.U. Pope,அன்பிற்கும் உண்டோ அடைக்குந்தாழ் ஆர்வலர் புன்கண்நோக்கில் தவிர்வது.,Is there a bolt to bar the heart from love when the eyes of the eager behold sorrow?,,,,"Thirukkural couplet 72, Possession of Love (அன்புடைமை).",,,,
TK-0321-DREW,Thirukkural,321,Post-Sangam (c. 1st–5th century CE),W.H. Drew,அறவினை யாதெனின் கொல்லாமை கோறல் பிறவினை எல்லாம் தரும்.,Not killing is the chief virtue; killing causes all other vices.,,,,"Thirukkural couplet 321, Non-Killing (கொல்லாமை).",,,,
