concept_id,concept,tamil,romanization,language,era,english,definition,historical_meaning,modern_meaning,commentary_reference,source_reference,related_concepts,example_sentence,example_translation,confidence,verified_by,version,revision_history
aram,Aram,அறம்,Aram,Tamil,Pre-Sangam & Sangam,"Virtue, moral duty, righteousness",The cosmic and moral order governing individual and societal actions.,"In Sangam literature and Thirukkural, Aram is the first and most fundamental of the Three Aims of Life (Mupporu'l): Aram (virtue), Porul (wealth), Inbam (love). It corresponds broadly to Dharma and encompasses all righteous acts performed without expectation of reward. Thirukkural's first book (Aram) has 38 chapters codifying it.","Morality, charity, duty.","Parimelazhagar, Manakkudavar",Thirukkural Chs 1–38; Tolkappiyam Porulatikaram,"Anbu, Arul, Kollamai, Ozhukkam, Vaimai, Igai",அறத்தாறின் இல்வாழ்க்கை ஆற்றின் புறத்தாறின் போஒய்ப் பெறுவது எவன்.,"If domestic life is lived on virtue's path, what more is gained by other paths?",0.99,Tamil Scholar / Tolkappiyam Tradition,1,[]
anbu,Anbu,அன்பு,Anbu,Tamil,Sangam,"Affection, love, the foundation of Aram",The emotional bond of love that is the root of all virtue.,Thirukkural Chapter 8 declares Anbu as the essential quality of humanity: 'Those who lack love claim all for themselves; those who have love give even their bones.' It is the animating force of domestic virtue and the foundation of Aram.,"Love, affection.",Parimelazhagar,"Thirukkural Chs 8, 79; Kurunthokai 40","Aram, Arul, Inbam, Thozhi, Illaram",அன்பிலார் எல்லாம் தமக்குரியர் அன்புடையார் என்பும் உரியர் பிறர்க்கு.,The loveless claim everything for themselves; the loving give even their bones to others.,0.98,Tamil Scholar / Tolkappiyam Tradition,1,[]
arul,Arul,அருள்,Arul,Tamil,Post-Sangam,"Universal compassion, grace, mercy",Benevolence and compassion extended beyond personal bonds to all living beings.,Arul (Chapter 25 of Thirukkural) is the higher form of Anbu expanded universally. 'Arul-selva'm selvathu'l selva'm' — the wealth of grace is the highest wealth. It is a prerequisite for Ahimsa (Kollamai) and vegetarianism.,"Grace, mercy, divine blessing.",Parimelazhagar,"Thirukkural Chs 25, 26; Manimekalai","Anbu, Kollamai, Thavam, Ozhukkam",அருட்செல்வம் செல்வத்துள் செல்வம் பொருட்செல்வம் பூரியார் கண்ணும் உள.,The wealth of grace is the highest; material wealth can be owned even by the basest men.,0.98,Tamil Scholar / Tolkappiyam Tradition,1,[]
oozh,Oozh,ஊழ்,Uzh,Tamil,Sangam & Post-Sangam,"Fate, karmic destiny, the power of past deeds",The inexorable law of cause and effect resulting from accumulated past actions.,"Thirukkural Chapter 38 (Oozh) states: 'What is stronger than fate? Even if one devises another plan, fate will forestall it.' Oozh represents karma — the deterministic force of past deeds that overrides conscious planning.","Destiny, fate, karma.",Nachinarkkiniyar,Thirukkural Chs 37–38; Purananuru 200,"Vinai, Aram, Thavam",ஊழில் பெருவலி யாவுள மற்றொன்று சூழினும் தான்முந் துறும்.,"What power surpasses fate? Even with another plan, fate comes first.",0.97,Tamil Scholar / Tolkappiyam Tradition,1,[]
thavam,Thavam,தவம்,Thavam,Tamil,Sangam & Post-Sangam,"Penance, spiritual austerity, self-discipline",Rigorous self-restraint and voluntary endurance of pain to gain spiritual power.,Thirukkural Chapter 27: 'Bearing one's own pain and not causing harm to others is the true nature of penance.' Thavam is both moral non-injury (Ahimsa) and physical endurance — the Sangam tradition valued its transformative power.,"Meditation, penance, asceticism.",Parimelazhagar,"Thirukkural Chs 27, 3; Purananuru 195","Kollamai, Ozhukkam, Aram, Turavaram",உற்றநோய் நோற்றல் உயிர்க்குறுகண் செய்யாமை அற்றே தவத்திற்கு உரு.,Bearing one's own pain and not causing harm to others is the true form of penance.,0.96,Tamil Scholar / Tolkappiyam Tradition,1,[]
inbam,Inbam,இன்பம்,Inbam,Tamil,Sangam,"Pleasure, aesthetic joy, Kamam","Aesthetic, sensual, and emotional pleasure, particularly in love (Akam).",Third of the Three Aims (Mupporu'l). Inbam corresponds to Kamam (Sanskrit) and encompasses the complete joy of love and union. It is the entire subject of Thirukkural Book 3 (Kamattuppal) and all Akam poetry.,"Happiness, pleasure.",Parimelazhagar,Thirukkural Book 3; Tolkappiyam Porulatikaram,"Akam, Kadal, Koodal, Pirivu, Kurinji",இன்பம் கடலினும் பெரிதே புணர்ச்சி பிரிவின் அவலத்தை மாற்றும்.,"The joy of union is larger than the ocean, curing the sorrow of separation.",0.94,Tamil Scholar / Tolkappiyam Tradition,1,[]
pukazh,Pukazh,புகழ்,Pugazh,Tamil,Sangam,"Fame, glory, lasting honor",The lasting reputation earned through virtuous deeds and generosity.,"In Sangam heroic poetry, Pukazh (fame) outlasts physical death. The poet Kaniyan Pungundranar in Purananuru and Avvaiyar both emphasize that fame through generous deeds is the only true legacy of a hero.","Fame, reputation, praise.",Nachinarkkiniyar,"Thirukkural Chs 23–24; Purananuru 1, 278","Kodai, Igai, Viram, Porum",ஈதல் இசைபட வாழ்தல் அதுவல்லது ஊதியம் இல்லை உயிர்க்கு.,Giving to the needy and living with fame — that is the only true gain for a living soul.,0.95,Tamil Scholar / Tolkappiyam Tradition,1,[]
porul,Porul,பொருள்,Porul,Tamil,Sangam & Post-Sangam,"Wealth, material well-being, Artha",Economic prosperity acquired through righteous means to sustain life and duty.,"Second of the Mupporu'l. Thirukkural Book 2 (Porul) covers political science, statecraft, diplomacy, and economics. Porul is valid only when earned by Aram. 'Arut-selva'm selvathu'l selva'm, porut-selva'm puuriyaar kannum ula.'","Wealth, material goods, meaning.",Parimelazhagar,Thirukkural Book 2 (Chs 39–95),"Aram, Sengol, Arasan, Nadu",அருட்செல்வம் செல்வத்துள் செல்வம் பொருட்செல்வம் பூரியார் கண்ணும் உள.,The wealth of grace is the highest; material wealth exists even in the basest men.,0.97,Tamil Scholar / Tolkappiyam Tradition,1,[]
ozhukkam,Ozhukkam,ஒழுக்கம்,Ozhukkam,Tamil,Post-Sangam,"Right conduct, moral discipline",Adherence to the ethical code established by virtuous society.,Thirukkural Chapter 14: 'Right conduct leads to excellence; therefore it must be guarded more zealously than life itself.' Ozhukkam is ranked above even learning (Kattru) because conduct without learning is superior to learning without conduct.,"Discipline, ethics, propriety.",Parimelazhagar,Thirukkural Ch 14 (vv. 131–140),"Aram, Vaimai, Nan, Sanror, Panpu",ஒழுக்கம் விழுப்பம் தரலான் ஒழுக்கம் உயிரினும் ஓம்பப் படும்.,Right conduct brings excellence; it must be guarded more zealously than life.,0.97,Tamil Scholar / Tolkappiyam Tradition,1,[]
vaimai,Vaimai,வாய்மை,Vaimai,Tamil,Post-Sangam,"Truthfulness, veracity",Speaking words that are entirely free from causing harm to any living being.,"Thirukkural Chapter 30: 'Truthfulness is speaking words that cause no harm to any. Even falsehood is truthfulness if it produces faultless good.' This uniquely defines truth by its consequences, not just its factual content.","Honesty, truth.",Parimelazhagar,Thirukkural Ch 30 (vv. 291–300),"Aram, Ozhukkam, Kollamai, Mey",வாய்மை எனப்படுவது யாதெனின் யாதொன்றும் தீமை இலாத சொலல்.,Truthfulness means speaking words wholly free of harm to any creature.,0.97,Tamil Scholar / Tolkappiyam Tradition,1,[]
kollamai,Kollamai,கொல்லாமை,Kollamai,Tamil,Post-Sangam,"Non-killing, Ahimsa",The supreme virtue of not destroying any life.,Thirukkural Chapter 33: 'Not killing is the chief virtue; killing is the cause of all other vices.' Thirukkural Ch 26 adds that eating flesh is incompatible with Arul. This precedes Jain/Buddhist Ahimsa in Tamil intellectual tradition.,"Vegetarianism, non-violence.",Parimelazhagar,"Thirukkural Chs 33, 26; Manimekalai","Arul, Thavam, Aram, Vaimai",அறவினை யாதெனின் கொல்லாமை கோறல் பிறவினை எல்லாம் தரும்.,Not killing is the chief virtue; killing causes all other vices.,0.97,Tamil Scholar / Tolkappiyam Tradition,1,[]
igai,Igai,ஈகை,Igai,Tamil,Post-Sangam,"True charity, selfless giving",Giving to the poor without expectation — the only worthy use of wealth.,Thirukkural Chapter 23: 'Giving to the poor is true charity; all other giving has an expectation of return.' Igai is the Akam counterpart of Kodai (Puram giving). It is unconditional giving as moral duty.,"Charity, philanthropy, donation.",Parimelazhagar,Thirukkural Ch 23 (vv. 221–230),"Kodai, Aram, Pukazh, Vallal",வறியார்க்கு ஒன்று ஈவதே ஈகை மற்றெல்லாம் குறியெதிர்ப்பை நீரது உடைத்து.,Giving to the poor is true charity; all other giving is done with expectation of return.,0.96,Tamil Scholar / Tolkappiyam Tradition,1,[]
